OrderDateUTC,Order_year,Order_month,Orderweek,Haul,Brand/Channel,Policy_type,58%Insurance_Premium,Insurance_purch,Travix_booking,Travix_revenue
2017-01-07,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,284,0.0
2017-01-07,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,329.78799999999995,7,7,371.78799999999995
2017-01-07,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,283.62,6,6,319.62
2017-01-07,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,43,0.0
2017-01-07,2017,1,1,Long Haul,VLIEGWINKEL,Travel Insurance,28.767999999999997,1,1,34.768
2017-01-07,2017,1,1,No Hual,VLIEGWINKEL,No insurance,0.0,0,1,0.0
2017-01-07,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,48.992599999999996,5,5,78.9926
2017-01-07,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,110,0.0
2017-01-07,2017,1,1,Short Haul,BUDGETAIR,Travel Insurance,7.307999999999999,1,1,13.308
2017-01-07,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,880.2718,63,63,1258.2718000000004
2017-01-07,2017,1,1,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,595,0.0
2017-01-07,2017,1,1,Short Haul,CHEAPTICKETSNL,Travel Insurance,308.154,14,14,392.154
2017-01-07,2017,1,1,Short Haul,VLIEGWINKEL,Cancellation Insurance,126.66619999999999,9,9,180.6662
2017-01-07,2017,1,1,Short Haul,VLIEGWINKEL,No insurance,0.0,0,92,0.0
2017-01-07,2017,1,1,Short Haul,VLIEGWINKEL,Travel Insurance,48.72,4,4,72.72
2017-01-08,2017,1,1,Long Haul,BUDGETAIR,Cancellation Insurance,509.1066,11,11,575.1066
2017-01-08,2017,1,1,Long Haul,BUDGETAIR,No insurance,0.0,0,111,0.0
2017-01-08,2017,1,1,Long Haul,BUDGETAIR,Travel Insurance,154.164,3,3,172.164
2017-01-08,2017,1,1,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,2346.1522,53,53,2664.1522
2017-01-08,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,358,0.0
2017-01-08,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,525.016,9,9,579.016
2017-01-08,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,481.64940000000007,12,12,553.6493999999999
2017-01-08,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,54,0.0
2017-01-08,2017,1,1,Long Haul,VLIEGWINKEL,Travel Insurance,28.767999999999997,1,1,34.768
2017-01-08,2017,1,1,No Hual,VLIEGWINKEL,No insurance,0.0,0,1,0.0
2017-01-08,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,82.05839999999999,5,5,112.05839999999999
2017-01-08,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,170,0.0
2017-01-08,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,766.0697999999999,62,62,1138.0697999999998
2017-01-08,2017,1,1,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,829,0.0
2017-01-08,2017,1,1,Short Haul,CHEAPTICKETSNL,Travel Insurance,138.852,10,10,198.852
2017-01-08,2017,1,1,Short Haul,VLIEGWINKEL,Cancellation Insurance,238.3742,17,17,340.37420000000003
2017-01-08,2017,1,1,Short Haul,VLIEGWINKEL,No insurance,0.0,0,113,0.0
2017-01-08,2017,1,1,Short Haul,VLIEGWINKEL,Travel Insurance,35.321999999999996,3,3,53.321999999999996
2017-01-09,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,363.53819999999996,5,5,393.53819999999996
2017-01-09,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,142,0.0
2017-01-09,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,309.256,2,2,321.256
2017-01-09,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1166.4205999999997,31,31,1352.4206
2017-01-09,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,342,0.0
2017-01-09,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,257.114,7,7,299.11400000000003
2017-01-09,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,736.4549999999998,11,11,802.4549999999998
2017-01-09,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,52,0.0
2017-01-09,2017,1,2,Long Haul,VLIEGWINKEL,Travel Insurance,84.50599999999999,3,3,102.50599999999999
2017-01-09,2017,1,2,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,2,0.0
2017-01-09,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,163.58319999999998,8,8,211.58319999999998
2017-01-09,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,165,0.0
2017-01-09,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,650.0581999999999,53,53,968.0581999999998
2017-01-09,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,762,0.0
2017-01-09,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,175.39199999999997,15,15,265.39199999999994
2017-01-09,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,106.11679999999998,11,11,172.11679999999998
2017-01-09,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,149,0.0
2017-01-09,2017,1,2,Short Haul,VLIEGWINKEL,Travel Insurance,49.937999999999995,3,3,67.93799999999999
2017-01-10,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,429.2,14,14,513.1999999999999
2017-01-10,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,180,0.0
2017-01-10,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,19.951999999999998,2,2,31.951999999999998
2017-01-10,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1676.3971999999999,51,51,1982.3972
2017-01-10,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,325,0.0
2017-01-10,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,357.80199999999996,8,8,405.80199999999996
2017-01-10,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,285.88779999999997,2,2,297.88779999999997
2017-01-10,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,60,0.0
2017-01-10,2017,1,2,No Hual,BUDGETAIR,No insurance,0.0,0,1,0.0
2017-01-10,2017,1,2,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,1,0.0
2017-01-10,2017,1,2,No Hual,VLIEGWINKEL,No insurance,0.0,0,2,0.0
2017-01-10,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,239.424,13,13,317.4239999999999
2017-01-10,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,194,0.0
2017-01-10,2017,1,2,Short Haul,BUDGETAIR,Travel Insurance,8.526,2,2,20.526
2017-01-10,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,771.9278,63,63,1149.9278
2017-01-10,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,859,0.0
2017-01-10,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,207.75599999999997,16,16,303.75600000000003
2017-01-10,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,255.98879999999997,18,18,363.98879999999997
2017-01-10,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,127,0.0
2017-01-11,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,287.7786,8,8,335.7786
2017-01-11,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,159,0.0
2017-01-11,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,23.373999999999995,1,1,29.373999999999995
2017-01-11,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1410.009,37,37,1632.0089999999998
2017-01-11,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,300,0.0
2017-01-11,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,251.71999999999997,7,7,293.72
2017-01-11,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,231.79699999999997,5,5,261.79699999999997
2017-01-11,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,54,0.0
2017-01-11,2017,1,2,Long Haul,VLIEGWINKEL,Travel Insurance,17.98,2,2,29.98
2017-01-11,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,68.324,6,6,104.32399999999998
2017-01-11,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,177,0.0
2017-01-11,2017,1,2,Short Haul,BUDGETAIR,Travel Insurance,30.449999999999996,3,3,48.45
2017-01-11,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,822.9735999999999,63,63,1200.9736
2017-01-11,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,836,0.0
2017-01-11,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,409.0159999999999,22,22,541.0159999999998
2017-01-11,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,49.213,5,5,79.213
2017-01-11,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,110,0.0
2017-01-11,2017,1,2,Short Haul,VLIEGWINKEL,Travel Insurance,6.09,1,1,12.09
2017-01-12,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,189.1032,7,7,231.1032
2017-01-12,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,138,0.0
2017-01-12,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1320.3293999999996,42,42,1572.3294
2017-01-12,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,268,0.0
2017-01-12,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,287.96999999999997,7,7,329.96999999999997
2017-01-12,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,262.479,8,8,310.479
2017-01-12,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,44,0.0
2017-01-12,2017,1,2,Long Haul,VLIEGWINKEL,Travel Insurance,62.92999999999999,2,2,74.92999999999999
2017-01-12,2017,1,2,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,1,0.0
2017-01-12,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,120.321,5,5,150.321
2017-01-12,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,176,0.0
2017-01-12,2017,1,2,Short Haul,BUDGETAIR,Travel Insurance,12.18,1,1,18.18
2017-01-12,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,585.336,51,51,891.3359999999999
2017-01-12,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,727,0.0
2017-01-12,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,136.416,13,13,214.41600000000003
2017-01-12,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,159.7146,13,13,237.7146
2017-01-12,2017,1,2,Short Haul,VLIEGWINKEL,No insurance,0.0,0,119,0.0
2017-01-12,2017,1,2,Short Haul,VLIEGWINKEL,Travel Insurance,168.08399999999997,6,6,204.084
2017-01-13,2017,1,2,Long Haul,BUDGETAIR,Cancellation Insurance,213.91559999999996,5,5,243.9156
2017-01-13,2017,1,2,Long Haul,BUDGETAIR,No insurance,0.0,0,135,0.0
2017-01-13,2017,1,2,Long Haul,BUDGETAIR,Travel Insurance,64.728,1,1,70.728
2017-01-13,2017,1,2,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1019.7095999999998,29,29,1193.7096
2017-01-13,2017,1,2,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,286,0.0
2017-01-13,2017,1,2,Long Haul,CHEAPTICKETSNL,Travel Insurance,82.418,5,5,112.418
2017-01-13,2017,1,2,Long Haul,VLIEGWINKEL,Cancellation Insurance,263.60999999999996,4,4,287.60999999999996
2017-01-13,2017,1,2,Long Haul,VLIEGWINKEL,No insurance,0.0,0,53,0.0
2017-01-13,2017,1,2,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,3,0.0
2017-01-13,2017,1,2,Short Haul,BUDGETAIR,Cancellation Insurance,78.3522,4,4,102.3522
2017-01-13,2017,1,2,Short Haul,BUDGETAIR,No insurance,0.0,0,130,0.0
2017-01-13,2017,1,2,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,779.7577999999997,71,71,1205.7578
2017-01-13,2017,1,2,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,716,0.0
2017-01-13,2017,1,2,Short Haul,CHEAPTICKETSNL,Travel Insurance,261.29,18,18,369.28999999999996
2017-01-13,2017,1,2,Short Haul,VLIEGWINKEL,Cancellation Insurance,124.14899999999997,7,7,166.149
